0	0	0	-0.001
0.01	-0.02	0	-0.001
0.02	0.06	0	-0.001
0.03	0.07	0	-0.001
0.04	0.07	0	-0.001
0.05	0.07	0	-0.001
0.06	0.07	0	-0.001
0.07	0.1	0	-0.001
0.08	0.15	0	-0.001
0.09	0.24	0	-0.001
0.1	0.28	0	-0.001
0.11	0.34	0	-0.001
0.12	0.38	0	-0.001
0.13	0.35	0	-0.001
0.14	0.36	0.001	-0.001
0.15	0.38	0.001	-0.001
0.16	0.39	0.001	-0.001
0.17	0.59	0.002	0
0.18	0.69	0.004	0
0.19	0.8	0.006	0
0.2	0.84	0.008	0
0.21	0.88	0.008	0
0.22	0.92	0.008	0
0.23	0.96	0.009	0
0.24	1.05	0.009	0.001
0.25	1.11	0.01	0.001
0.26	1.02	0.01	0.001
0.27	0.81	0.01	0
0.28	0.63	0.011	-0.001
0.29	0.58	0.011	0
0.3	0.41	0.008	-0.001
0.31	0.29	0.006	-0.001
0.32	0.2	0.006	-0.001
0.33	0.19	0.005	-0.001
0.34	0.18	0.005	-0.001
0.35	0.18	0.004	-0.001
0.36	0.18	0.005	-0.001
0.37	0.23	0.004	-0.001
0.38	0.26	0.004	-0.001
0.39	0.33	0.004	-0.001
0.4	0.38	0.004	-0.001
0.41	0.48	0.004	-0.001
0.42	0.5	0.004	-0.001
0.43	0.54	0.004	-0.001
0.44	0.55	0.005	-0.001
0.45	0.55	0.005	-0.001
0.46	0.56	0.005	-0.001
0.47	0.57	0.005	-0.001
0.48	0.56	0.005	-0.001
0.49	0.57	0.005	-0.001
0.5	0.57	0.005	-0.001
0.51	0.58	0.004	0
0.52	0.58	0.004	-0.001
0.53	0.57	0.004	-0.001
0.54	0.56	0.004	-0.001
0.55	0.53	0.004	-0.001
0.56	0.52	0.003	-0.002
0.57	0.51	-0.001	-0.002
0.58	0.48	-0.005	-0.002
0.59	0.47	-0.005	-0.002
0.6	0.47	-0.006	-0.002
0.61	0.47	-0.006	-0.002
0.62	0.46	-0.01	-0.002
0.63	0.43	-0.007	-0.002
0.64	0.44	-0.005	-0.003
0.65	0.42	-0.004	-0.003
0.66	0.38	-0.004	-0.002
0.67	0.35	-0.004	-0.002
0.68	0.32	-0.005	-0.002
0.69	0.29	-0.005	-0.002
0.7	0.27	-0.005	-0.002
0.71	0.27	-0.005	-0.003
0.72	0.26	-0.003	-0.002
0.73	0.27	-0.002	-0.002
0.74	0.27	-0.001	-0.002
0.75	0.27	0	-0.002
0.76	0.29	0	-0.002
0.77	0.35	0	-0.002
0.78	0.4	0	-0.002
0.79	0.45	0.001	-0.002
0.8	0.48	0.001	-0.002
0.81	0.46	0.002	-0.002
0.82	0.46	0.003	-0.002
0.83	0.46	0.004	-0.002
0.84	0.47	0.004	-0.002
0.85	0.47	0.004	-0.002
0.86	0.46	0.004	-0.002
0.87	0.45	0.005	-0.002
0.88	0.43	0.005	-0.002
0.89	0.43	0.005	-0.002
0.9	0.44	-0.001	-0.002
0.91	0.44	-0.001	-0.002
0.92	0.45	-0.002	-0.002
0.93	0.44	0	-0.002
0.94	0.43	0.001	-0.002
0.95	0.43	0.001	-0.002
0.96	0.43	0.001	-0.002
0.97	0.45	0.001	-0.003
0.98	0.46	0.001	-0.003
0.99	0.46	0.001	-0.003
1	0.46	0.002	-0.003
1.01	0.41	0.001	-0.002
1.02	0.35	0.002	-0.002
1.03	0.39	0.002	-0.003
1.04	0.31	0.002	-0.003
1.05	0.3	0.002	-0.003
1.06	0.29	0.003	-0.003
1.07	0.28	0.003	-0.003
1.08	0.27	0.003	-0.003
1.09	0.26	0.003	-0.003
1.1	0.26	0.002	-0.003
1.11	0.27	0.001	-0.003
1.12	0.28	-0.001	-0.003
1.13	0.26	-0.004	-0.003
