0	-0.01	0	-0.001
0.01	0.04	0	-0.001
0.02	0.16	0	0
0.03	0.91	0	0
0.04	0.97	0	0
0.05	0.97	0	-0.001
0.06	0.93	0.001	-0.001
0.07	0.9	0.002	-0.001
0.08	0.75	0.002	-0.001
0.09	0.71	0.002	-0.001
0.1	0.64	0.002	-0.001
0.11	0.59	0.002	0
0.12	0.56	0.002	-0.001
0.13	0.5	0.001	-0.001
0.14	0.47	0.001	-0.001
0.15	0.45	0.001	-0.001
0.16	0.43	0	-0.001
0.17	0.38	0	0
0.18	0.37	0	-0.001
0.19	0.34	0	0
0.2	0.32	0	0
0.21	0.31	0	-0.001
0.22	0.3	0	-0.001
0.23	0.29	0	-0.001
0.24	0.29	0	-0.001
0.25	0.29	0	-0.001
0.26	0.28	0	-0.001
0.27	0.28	0	-0.001
0.28	0.28	0	-0.001
0.29	0.27	0	-0.001
0.3	0.27	0	-0.001
0.31	0.26	0	-0.001
0.32	0.25	0	-0.001
0.33	0.25	0	-0.001
0.34	0.25	0	-0.001
0.35	0.25	0	0
0.36	0.25	0	0
0.37	0.24	0	0
0.38	0.24	0	0
0.39	0.23	0	0
0.4	0.22	0	0
0.41	0.21	0	0
0.42	0.19	0	0
0.43	0.19	0	0
0.44	0.17	0	0
0.45	0.17	0	0
0.46	0.15	0	0
0.47	0.15	0	0
0.48	0.15	0	0
0.49	0.15	0	0
0.5	0.15	0	0
0.51	0.15	0	0
0.52	0.14	0	0
0.53	0.14	0	0
0.54	0.13	0	0
0.55	0.13	0	0
0.56	0.12	0	0
0.57	0.12	0	0
0.58	0.12	0	0
0.59	0.12	0	0
0.6	0.12	0	0
0.61	0.11	0	0
0.62	0.11	0	0
0.63	0.1	0	0
0.64	0.1	0	0
0.65	0.1	0	0
0.66	0.1	0	0
0.67	0.1	0	0
0.68	0.1	0	0
0.69	0.1	0	0
0.7	0.1	0	0
0.71	0.1	0	0
0.72	0.1	0	0
0.73	0.1	0	0
0.74	0.1	0	0
0.75	0.1	0	0
0.76	0.1	0	0
0.77	0.09	0	0
0.78	0.1	0	0
0.79	0.1	0	0
0.8	0.1	0	0
0.81	0.11	0	0
0.82	0.11	0	0
0.83	0.1	0	0
0.84	0.1	0	0
0.85	0.1	0	0
0.86	0.11	0	0
0.87	0.11	0	0
0.88	0.11	0	0
0.89	0.11	0	0
0.9	0.11	0	0
0.91	0.11	0	0
0.92	0.12	0	0
0.93	0.13	0	0
0.94	0.21	0	0
0.95	0.29	0	0
0.96	0.41	0	0.001
0.97	0.7	0	0.001
0.98	0.9	0	0.003
0.99	1.11	0.001	0.002
1	1.35	0.001	-0.002
1.01	1.6	0.001	-0.003
1.02	1.96	0.002	-0.004
1.03	2.06	0.003	-0.004
1.04	2.13	0.006	-0.004
1.05	2.18	0.007	-0.002
1.06	2.22	0.008	0
1.07	2.26	0.009	0.002
1.08	2.28	0.01	0.003
1.09	2.3	0.011	0.004
1.1	2.33	0.012	0.003
1.11	2.42	0.013	0.002
1.12	2.46	0.013	-0.002
1.13	2.5	0.015	-0.015
1.14	2.52	0.015	-0.023
1.15	2.52	0.016	-0.028
1.16	2.47	0.016	-0.031
1.17	2.37	0.017	-0.039
1.18	2.24	0.018	-0.047
1.19	2.11	0.019	-0.056
1.2	1.84	0.019	-0.057
1.21	1.74	0.02	-0.052
1.22	1.66	0.019	-0.047
1.23	1.61	0.019	-0.05
