H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
1.50,0.000,-0.000,0.0003,1.560,20.000,8.130,0.000,0.000,0.000,-0.000,0.000,0,15.00
1.52,0.011,-0.000,0.0003,1.680,11.000,0.092,0.000,0.011,0.000,-0.000,0.000,0,17.50
1.54,0.443,0.000,-0.0002,1.500,13.000,0.023,0.000,0.443,0.000,0.023,0.000,0,17.50
1.56,0.000,0.005,0.0007,1.560,2.000,1635.192,0.000,0.000,0.005,4700.000,0.000,0,12.50
1.58,12.045,0.002,0.0007,1.470,6.000,0.015,0.000,12.046,0.002,0.015,0.000,0,19.50
1.60,16.774,0.005,0.0003,1.510,7.000,0.029,0.000,16.774,0.005,0.029,0.051,0,19.50
1.62,17.436,0.118,0.0022,2.250,3.000,0.678,0.000,17.437,0.118,0.678,1.139,0,19.50
1.64,12.111,0.118,0.0022,3.330,29.000,0.977,0.000,12.112,0.118,0.977,1.053,0,19.00
1.66,13.800,0.082,-0.0002,3.060,21.000,0.592,0.000,13.800,0.082,0.592,0.670,0,19.50
1.68,17.732,0.080,0.0000,3.210,20.000,0.451,0.000,17.732,0.080,0.451,0.632,0,19.50
1.70,12.354,0.092,-0.0006,2.950,13.000,0.745,0.000,12.353,0.092,0.745,0.766,0,19.50
1.72,11.582,0.271,0.0020,2.860,19.000,2.340,0.000,11.583,0.271,2.341,2.519,0,18.50
1.74,9.324,0.271,0.0020,2.710,22.000,2.907,0.000,9.325,0.271,2.907,2.892,0,18.00
1.76,11.056,0.273,0.0016,3.110,19.000,2.467,0.000,11.057,0.273,2.467,3.244,0,18.50
1.78,5.019,0.325,0.0014,3.020,24.000,6.476,0.000,5.020,0.325,6.477,4.468,0,17.50
1.80,4.841,0.280,0.0023,3.080,25.000,5.775,0.000,4.842,0.280,5.776,4.851,0,17.50
1.82,3.113,0.285,0.0009,3.090,24.000,9.140,0.000,3.114,0.285,9.142,6.007,0,17.50
1.84,2.173,0.183,-0.0220,3.130,26.000,8.486,0.000,2.164,0.184,8.441,4.861,0,17.50
1.86,1.510,0.154,-0.0112,3.090,27.000,10.207,0.000,1.506,0.154,10.169,5.106,0,17.50
1.88,1.340,0.115,-0.0064,3.250,29.000,8.598,0.000,1.337,0.115,8.576,5.506,0,17.50
