H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
5.58,14.541,0.161,-0.0784,2.180,17.000,1.115,0.000,14.509,0.162,1.107,1.021,0,19.00
5.60,15.826,0.132,-0.0782,2.190,22.000,0.841,0.000,15.794,0.133,0.834,0.780,0,19.50
5.62,16.807,0.145,-0.0782,2.250,24.000,0.869,0.000,16.775,0.146,0.863,0.803,0,19.50
5.64,18.622,0.149,-0.0784,2.250,23.000,0.806,0.000,18.590,0.150,0.800,0.780,0,19.50
5.66,19.908,0.133,-0.0784,2.270,23.000,0.673,0.000,19.876,0.134,0.668,0.661,0,19.50
5.68,23.368,0.194,-0.0780,2.310,21.000,0.835,0.000,23.336,0.195,0.830,0.935,0,19.50
5.70,24.658,0.202,-0.0779,2.380,17.000,0.823,0.000,24.626,0.203,0.819,0.949,0,19.50
5.72,24.606,0.198,-0.0779,2.430,18.000,0.809,0.000,24.574,0.199,0.805,0.916,0,19.50
5.74,24.070,0.205,-0.0790,2.470,19.000,0.856,0.000,24.038,0.206,0.852,0.942,0,19.50
5.76,24.578,0.197,-0.0789,2.510,18.000,0.806,0.000,24.546,0.198,0.802,0.904,0,19.50
5.78,21.182,0.351,-0.0787,2.540,19.000,1.663,0.000,21.150,0.352,1.657,1.616,0,19.00
5.80,20.573,0.256,-0.0787,2.540,19.000,1.250,0.000,20.541,0.257,1.244,1.193,0,19.50
5.82,19.529,0.267,-0.0777,2.570,20.000,1.373,0.000,19.497,0.268,1.367,1.266,0,19.00
5.84,18.292,0.249,-0.0776,2.710,19.000,1.368,0.000,18.260,0.250,1.361,1.199,0,19.00
5.86,18.817,0.241,-0.0774,2.710,20.000,1.287,0.000,18.785,0.242,1.281,1.169,0,19.00
5.88,19.323,0.237,-0.0778,2.720,20.000,1.233,0.000,19.291,0.238,1.227,1.154,0,19.50
5.90,20.400,0.259,-0.0777,2.810,18.000,1.275,0.000,20.368,0.260,1.270,1.249,0,19.50
5.92,20.669,0.254,-0.0788,2.890,16.000,1.235,0.000,20.637,0.255,1.229,1.211,0,19.50
5.94,21.007,0.230,-0.0782,2.890,14.000,1.100,0.000,20.975,0.231,1.095,1.079,0,19.50
5.96,22.470,0.252,-0.0785,2.890,13.000,1.127,0.000,22.438,0.253,1.121,1.157,0,19.50
5.98,23.692,0.242,-0.0782,2.890,10.000,1.026,0.000,23.660,0.243,1.021,1.091,0,19.50
6.00,23.303,0.241,-0.0784,2.890,42.000,1.039,0.000,23.271,0.242,1.034,0.000,0,19.50
6.02,23.303,0.241,-0.0784,2.890,42.000,1.039,0.000,23.271,0.242,1.034,0.000,0,19.50
6.04,23.303,0.241,-0.0784,2.890,42.000,1.039,0.000,23.271,0.242,1.034,0.000,0,19.50
6.06,23.303,0.241,-0.0784,2.890,42.000,1.039,0.000,23.271,0.242,1.034,0.000,0,19.50
6.08,23.303,0.241,-0.0784,2.890,42.000,1.039,0.000,23.271,0.242,1.034,0.000,0,19.50
6.10,23.303,0.241,-0.0784,2.890,42.000,1.039,0.000,23.271,0.242,1.034,0.000,0,19.50
