H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
2.50,0.015,0.001,0.0098,2.060,26.000,5.675,0.000,0.019,0.001,7.792,0.000,0,15.00
2.52,0.015,0.001,0.0098,2.060,26.000,5.675,0.000,0.019,0.001,7.792,0.000,0,12.50
2.54,0.032,0.001,0.0098,2.020,29.000,3.094,0.000,0.036,0.001,3.797,0.000,0,12.50
2.56,0.034,0.002,0.0095,2.140,30.000,5.511,0.000,0.038,0.002,6.414,0.000,0,12.50
2.58,0.036,0.002,0.0098,2.040,34.000,4.492,0.000,0.040,0.002,5.263,0.000,0,12.50
2.60,0.036,0.002,0.0101,2.040,33.000,5.216,0.000,0.040,0.002,6.094,6.116,0,12.50
2.62,0.038,0.002,0.0105,2.100,35.000,4.016,0.000,0.042,0.002,4.749,4.357,0,12.50
2.64,0.043,0.002,0.0105,2.060,32.000,3.621,0.000,0.047,0.002,4.235,3.665,0,12.50
2.66,0.047,0.001,0.0109,2.120,31.000,1.148,0.000,0.051,0.001,1.489,1.026,0,17.50
2.68,0.050,0.000,0.0113,2.100,31.000,0.344,0.000,0.054,0.000,0.604,0.403,0,17.50
2.70,0.050,0.000,0.0118,2.100,32.000,0.018,0.000,0.055,0.000,0.000,0.000,0,17.50
2.72,0.074,0.000,0.0125,2.080,32.000,0.013,0.000,0.079,0.000,0.135,0.115,0,17.50
2.74,0.101,0.000,0.0122,2.080,33.000,0.009,0.000,0.106,0.000,0.099,0.109,0,17.50
2.76,0.242,0.000,0.0122,1.920,32.000,0.004,0.000,0.247,0.000,0.041,0.108,0,17.50
2.78,0.103,0.004,0.0128,1.900,36.000,3.946,0.000,0.108,0.004,4.272,4.707,0,12.50
2.80,0.103,0.003,0.0121,1.900,34.000,2.296,0.000,0.108,0.002,2.524,2.703,0,12.50
2.82,0.106,0.003,0.0127,1.920,35.000,2.771,0.000,0.111,0.003,3.027,3.201,0,12.50
2.84,0.093,0.003,0.0127,1.720,35.000,3.126,0.000,0.098,0.003,3.437,3.155,0,12.50
2.86,0.053,0.002,0.0128,2.120,36.000,2.343,0.000,0.059,0.001,2.814,1.493,0,12.50
2.88,0.053,0.008,0.0132,2.120,36.000,13.060,0.000,0.059,0.008,14.634,8.943,0,12.50
2.90,0.079,0.003,0.0135,1.890,32.000,3.134,0.000,0.085,0.003,3.522,3.134,0,12.50
2.92,0.091,0.003,0.0135,1.850,34.000,2.755,0.000,0.097,0.003,3.070,2.967,0,12.50
2.94,0.090,0.001,0.0137,1.860,35.000,1.108,0.000,0.096,0.001,1.329,1.211,0,17.50
2.96,0.090,0.000,0.0138,1.860,36.000,0.273,0.000,0.096,0.000,0.443,0.374,0,17.50
2.98,0.097,0.000,0.0138,1.780,34.000,0.010,0.000,0.102,0.000,0.000,0.000,0,17.50
3.00,0.126,0.000,0.0138,1.770,35.000,0.008,0.000,0.132,0.000,0.000,0.000,0,17.50
3.02,0.158,0.000,0.0138,1.850,37.000,0.006,0.000,0.164,0.000,0.000,0.000,0,17.50
3.04,0.158,0.000,0.0138,1.850,34.000,0.006,0.000,0.164,0.000,0.000,0.000,0,17.50
3.06,0.179,0.000,0.0145,1.850,36.000,0.030,0.000,0.185,0.000,0.112,0.111,0,17.50
3.08,0.232,0.000,0.0145,1.710,34.000,0.023,0.000,0.238,0.000,0.086,0.102,0,17.50
3.10,0.217,0.003,0.0149,1.640,37.000,1.234,0.000,0.223,0.003,1.338,1.369,0,17.50
3.12,0.217,0.006,0.0147,1.640,35.000,2.447,0.000,0.223,0.005,2.583,2.491,0,17.50
3.14,0.239,0.006,0.0150,1.680,34.000,2.545,0.000,0.246,0.006,2.673,2.713,0,17.50
3.16,0.266,0.006,0.0153,1.740,32.000,2.077,0.000,0.272,0.006,2.184,2.344,0,17.50
3.18,0.271,0.006,0.0153,1.720,30.000,2.037,0.000,0.277,0.006,2.140,2.190,0,17.50
3.20,0.266,0.006,0.0155,1.830,27.000,1.996,0.000,0.273,0.005,2.101,2.011,0,17.50
3.22,0.269,0.005,0.0158,1.790,17.000,1.938,0.000,0.276,0.005,2.043,1.877,0,17.50
3.24,0.280,0.006,0.0160,1.840,21.000,2.142,0.000,0.287,0.006,2.249,2.030,0,17.50
3.26,0.285,0.007,0.0161,1.830,25.000,2.273,0.000,0.292,0.007,2.382,2.070,0,17.50
3.28,0.370,0.004,0.0169,1.880,24.000,0.883,0.000,0.377,0.003,0.945,1.025,0,17.50
3.30,0.381,0.008,0.0165,1.840,24.000,1.994,0.000,0.388,0.008,2.072,2.222,0,17.50
3.32,0.378,0.007,0.0168,1.850,24.000,1.751,0.000,0.384,0.007,1.827,1.860,0,17.50
3.34,0.407,0.006,0.0170,1.880,22.000,1.431,0.000,0.414,0.006,1.497,1.577,0,17.50
3.36,0.439,0.005,0.0172,1.920,23.000,1.194,0.000,0.446,0.005,1.253,1.350,0,17.50
3.38,0.407,0.007,0.0177,1.930,23.000,1.552,0.000,0.414,0.006,1.624,1.544,0,17.50
3.40,0.428,0.006,0.0179,2.000,21.000,1.337,0.000,0.436,0.006,1.401,1.364,0,17.50
3.42,0.435,0.007,0.0182,2.060,17.000,1.655,0.000,0.442,0.007,1.726,1.670,0,17.50
3.44,0.445,0.009,0.0186,2.080,20.000,1.946,0.000,0.453,0.009,2.021,1.992,0,18.00
3.46,0.506,0.011,0.0317,1.890,23.000,2.097,0.000,0.519,0.011,2.214,2.476,0,18.00
3.48,0.506,0.011,0.0317,1.890,23.000,2.097,0.000,0.519,0.011,2.214,2.491,0,18.00
3.50,0.506,0.011,0.0317,1.890,23.000,2.097,0.000,0.519,0.011,2.214,2.492,0,18.00
3.52,0.482,0.010,0.0313,1.880,26.000,2.037,0.000,0.495,0.010,2.156,2.323,0,18.00
3.54,0.408,0.010,0.0313,1.880,27.000,2.395,0.000,0.421,0.010,2.547,2.324,0,17.50
3.56,0.413,0.008,0.0317,1.880,26.000,1.827,0.000,0.426,0.008,1.962,1.807,0,17.50
3.58,0.409,0.008,0.0317,1.880,28.000,1.843,0.000,0.422,0.008,1.979,1.823,0,17.50
3.60,0.405,0.008,0.0320,1.880,28.000,1.742,0.000,0.418,0.007,1.878,1.727,0,17.50
3.62,0.409,0.007,0.0321,1.880,27.000,1.699,0.000,0.422,0.007,1.832,1.722,0,17.50
3.64,0.433,0.008,0.0322,1.880,28.000,1.677,0.000,0.446,0.007,1.803,1.801,0,17.50
3.66,0.454,0.008,0.0324,1.910,27.000,1.641,0.000,0.468,0.008,1.761,1.828,0,17.50
3.68,0.462,0.009,0.0325,1.980,25.000,1.805,0.000,0.475,0.009,1.928,2.006,0,18.00
3.70,0.460,0.008,0.0379,2.020,18.000,1.687,0.000,0.475,0.008,1.827,1.867,0,17.50
3.72,0.454,0.012,0.0382,2.070,4.000,2.386,0.000,0.470,0.011,2.553,2.537,0,17.50
3.74,0.456,0.011,0.0384,2.050,35.000,2.271,0.000,0.472,0.011,2.433,2.402,0,17.50
3.76,0.458,0.011,0.0384,2.060,36.000,2.262,0.000,0.474,0.011,2.424,2.385,0,17.50
3.78,0.479,0.012,0.0385,2.080,35.000,2.409,0.000,0.495,0.012,2.569,2.635,0,17.50
3.80,0.479,0.012,0.0387,2.080,34.000,2.247,0.000,0.495,0.011,2.402,2.461,0,18.00
3.82,0.485,0.011,0.0388,2.060,34.000,2.178,0.000,0.501,0.011,2.329,2.417,0,18.00
3.84,0.464,0.011,0.0388,2.080,37.000,2.272,0.000,0.480,0.011,2.433,2.410,0,17.50
3.86,0.469,0.010,0.0391,2.080,34.000,2.023,0.000,0.485,0.010,2.175,2.170,0,18.00
3.88,0.469,0.010,0.0393,2.080,35.000,2.001,0.000,0.485,0.010,2.154,2.145,0,18.00
3.90,0.467,0.011,0.0395,2.080,34.000,2.112,0.000,0.483,0.010,2.269,2.260,0,18.00
3.92,0.462,0.011,0.0395,2.080,36.000,2.135,0.000,0.478,0.010,2.296,2.270,0,18.00
3.94,0.470,0.010,0.0397,2.080,35.000,2.078,0.000,0.486,0.010,2.235,2.262,0,18.00
3.96,0.470,0.011,0.0399,2.080,35.000,2.119,0.000,0.486,0.010,2.278,2.308,0,18.00
3.98,0.465,0.011,0.0401,2.080,34.000,2.179,0.000,0.482,0.010,2.343,2.357,0,18.00
4.00,0.459,0.011,0.0401,2.080,36.000,2.209,0.000,0.475,0.010,2.375,2.362,0,18.00
4.02,0.456,0.011,0.0403,2.080,35.000,2.242,0.000,0.473,0.011,2.411,2.387,0,17.50
4.04,0.456,0.011,0.0405,2.080,34.000,2.199,0.000,0.473,0.010,2.367,2.343,0,18.00
4.06,0.457,0.011,0.0407,2.100,34.000,2.151,0.000,0.474,0.010,2.319,2.301,0,18.00
4.08,0.456,0.011,0.0407,2.080,36.000,2.155,0.000,0.473,0.010,2.324,2.309,0,18.00
4.10,0.459,0.011,0.0408,2.140,34.000,2.164,0.000,0.476,0.010,2.332,2.330,0,18.00
4.12,0.459,0.010,0.0411,2.140,35.000,2.121,0.000,0.476,0.010,2.288,2.279,0,18.00
4.14,0.463,0.010,0.0412,2.140,33.000,2.058,0.000,0.480,0.010,2.222,2.223,0,18.00
4.16,0.465,0.010,0.0414,2.120,30.000,1.967,0.000,0.482,0.009,2.128,2.130,0,18.00
4.18,0.453,0.011,0.0416,2.170,18.000,2.211,0.000,0.470,0.010,2.386,2.321,0,18.00
4.20,0.467,0.011,0.0418,2.170,22.000,2.165,0.000,0.484,0.010,2.334,2.338,0,18.00
4.22,0.477,0.011,0.0420,2.170,22.000,2.141,0.000,0.494,0.011,2.306,2.351,0,18.00
4.24,0.483,0.011,0.0422,2.150,25.000,2.153,0.000,0.501,0.011,2.317,2.389,0,18.00
4.26,0.472,0.011,0.0423,2.170,23.000,2.241,0.000,0.490,0.011,2.413,2.425,0,18.00
4.28,0.463,0.012,0.0425,2.170,25.000,2.303,0.000,0.481,0.011,2.481,2.435,0,17.50
4.30,0.465,0.011,0.0430,2.170,26.000,2.127,0.000,0.483,0.010,2.300,2.241,0,18.00
4.32,0.477,0.011,0.0430,2.180,27.000,2.076,0.000,0.495,0.010,2.243,2.237,0,18.00
4.34,0.471,0.011,0.0433,2.180,24.000,2.081,0.000,0.488,0.010,2.252,2.185,0,18.00
4.36,0.476,0.010,0.0435,2.180,28.000,2.038,0.000,0.494,0.010,2.205,2.136,0,18.00
4.38,0.490,0.011,0.0438,2.180,23.000,2.041,0.000,0.508,0.010,2.205,2.181,0,18.00
