# Cold Store (CS) LR3.0
# Vs Profile 1
# Depth (meters) | Vs (meters/second)
11	 207
11	 211
24	 211
24	 328
90	 328
90	 1142
133	 1142
133	 2246
150	 2246
# Vs Profile 23
# Depth (meters) | Vs (meters/second)
0.00	 249
0.77	 249
0.77	 202
1.6	 202
1.6	 201
2.7	 201
2.7	 203
9.1	 203
9.1	 219
24	 219
24	 318
80	 318
80	 526
105	 526
105	 2034
150	 2034
# Vs Profile 24
# Depth (meters) | Vs (meters/second)
0.00	 251
0.78	 251
0.78	 194
1.5	 194
1.5	 203
2.6	 203
2.6	 205
8.4	 205
8.4	 217
25	 217
25	 328
91	 328
91	 1188
113	 1188
113	 2116
150	 2116
# Vs Profile 25
# Depth (meters) | Vs (meters/second)
0.00	 251
0.78	 251
0.78	 192
1.5	 192
1.5	 203
2.7	 203
2.7	 205
9.1	 205
9.1	 224
26	 224
26	 328
91	 328
91	 1097
115	 1097
115	 2224
150	 2224
# Vs Profile 26
# Depth (meters) | Vs (meters/second)
0.00	 251
0.78	 251
0.78	 196
1.6	 196
1.6	 201
2.7	 201
2.7	 205
8.4	 205
8.4	 222
26	 222
26	 328
91	 328
91	 1087
104	 1087
104	 2095
150	 2095
# Vs Profile 27
# Depth (meters) | Vs (meters/second)
0.00	 249
0.79	 249
0.79	 196
1.6	 196
1.6	 199
2.8	 199
2.8	 205
11	 205
11	 217
25	 217
25	 328
92	 328
92	 1287
116	 1287
116	 2246
150	 2246
# Vs Profile 28
# Depth (meters) | Vs (meters/second)
0.00	 251
0.79	 251
0.79	 196
1.6	 196
1.6	 199
2.7	 199
2.7	 205
9.9	 205
9.9	 213
24	 213
24	 328
91	 328
91	 1274
130	 1274
130	 2315
150	 2315
# Vs Profile 29
# Depth (meters) | Vs (meters/second)
0.00	 251
0.78	 251
0.78	 192
1.5	 192
1.5	 203
2.6	 203
2.6	 205
8.4	 205
8.4	 215
25	 215
25	 328
91	 328
91	 1131
109	 1131
109	 2116
150	 2116
# Vs Profile 30
# Depth (meters) | Vs (meters/second)
0.00	 251
0.75	 251
0.75	 202
1.6	 202
1.6	 199
2.7	 199
2.7	 203
9.6	 203
9.6	 219
26	 219
26	 328
83	 328
83	 471
103	 471
103	 2116
150	 2116
# Vs Profile 31
# Depth (meters) | Vs (meters/second)
0.00	 251
0.75	 251
0.75	 194
1.6	 194
1.6	 203
2.8	 203
2.8	 205
11	 205
11	 219
25	 219
25	 322
86	 322
86	 635
107	 635
107	 2180
150	 2180
# Vs Profile 32
# Depth (meters) | Vs (meters/second)
