H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
8.50,11.111,0.171,-0.0708,5.980,13.000,1.546,0.000,11.081,0.171,1.535,1.545,0,19.00
8.52,12.257,0.188,-0.0706,5.980,14.000,1.544,0.000,12.228,0.189,1.535,1.526,0,19.00
8.54,13.168,0.213,-0.0703,5.980,13.000,1.624,0.000,13.139,0.213,1.615,1.532,0,19.00
8.56,15.328,0.220,-0.0694,5.980,13.000,1.443,0.000,15.299,0.221,1.436,1.437,0,19.00
8.58,14.879,0.269,-0.0701,5.980,14.000,1.816,0.000,14.850,0.270,1.807,0.000,0,19.00
8.60,19.948,0.395,-0.0710,5.980,16.000,1.985,0.000,19.919,0.395,1.979,0.000,0,19.00
8.62,19.077,0.443,-0.0707,5.980,15.000,2.330,0.000,19.048,0.444,2.323,0.000,0,18.50
8.64,22.481,0.398,-0.0700,5.980,15.000,1.776,0.000,22.452,0.399,1.771,0.000,0,19.00
8.66,22.190,0.384,-0.0704,5.980,17.000,1.734,0.000,22.161,0.384,1.728,0.000,0,19.00
8.68,22.190,0.384,-0.0703,5.980,17.000,1.734,0.000,22.161,0.384,1.728,0.000,0,19.00
