H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
2.50,1.862,0.000,0.0008,2.310,20.000,0.010,0.000,1.862,0.000,0.011,0.000,0,15.00
2.52,1.862,0.000,0.0008,2.310,20.000,0.010,0.000,1.862,0.000,0.011,0.000,0,18.50
2.54,2.240,0.000,0.0008,2.260,17.000,0.009,0.000,2.241,0.000,0.009,0.000,0,18.50
2.56,2.174,0.001,0.0004,2.200,20.000,0.023,0.000,2.174,0.000,0.023,0.000,0,18.50
2.58,2.334,0.000,0.0009,2.150,30.000,0.000,0.000,2.334,0.000,0.000,0.000,0,18.50
2.60,1.881,0.000,0.0009,2.030,34.000,0.001,0.000,1.881,0.000,0.000,0.000,0,18.50
2.62,0.752,0.002,0.0004,2.020,31.000,0.226,0.000,0.752,0.002,0.226,0.148,0,17.50
2.64,0.486,0.002,0.0002,2.060,29.000,0.432,0.000,0.486,0.002,0.432,0.212,0,17.50
2.66,0.305,0.002,0.0005,2.050,33.000,0.489,0.000,0.306,0.001,0.491,0.188,0,17.50
2.68,0.305,0.001,0.0004,2.050,34.000,0.293,0.000,0.306,0.001,0.295,0.147,0,17.50
2.70,0.202,0.001,0.0002,2.120,33.000,0.641,0.000,0.202,0.001,0.642,0.317,0,17.50
2.72,0.118,0.001,0.0002,2.110,32.000,1.096,0.000,0.118,0.001,1.098,0.521,0,17.50
2.74,0.106,0.002,0.0002,2.080,32.000,2.172,0.000,0.106,0.002,2.176,1.191,0,12.50
2.76,0.116,0.003,0.0002,2.100,33.000,2.592,0.000,0.116,0.003,2.595,1.854,0,17.50
2.78,0.116,0.001,0.0002,2.100,33.000,0.690,0.000,0.116,0.001,0.692,0.544,0,17.50
2.80,0.117,0.001,0.0002,2.140,33.000,0.764,0.000,0.117,0.001,0.767,0.679,0,17.50
2.82,0.122,0.001,0.0002,2.110,33.000,0.736,0.000,0.122,0.001,0.738,0.710,0,17.50
2.84,0.130,0.001,0.0003,2.070,32.000,0.766,0.000,0.130,0.001,0.769,0.782,0,17.50
2.86,0.142,0.001,0.0003,2.080,33.000,0.914,0.000,0.142,0.001,0.917,1.004,0,17.50
2.88,0.142,0.002,0.0003,2.080,32.000,1.618,0.000,0.142,0.002,1.622,1.766,0,17.50
2.90,0.148,0.002,0.0003,2.090,37.000,1.414,0.000,0.148,0.002,1.417,1.602,0,17.50
2.92,0.137,0.002,0.0003,2.110,37.000,1.526,0.000,0.137,0.002,1.529,1.585,0,17.50
2.94,0.131,0.003,0.0004,2.130,31.000,2.055,0.000,0.131,0.003,2.061,2.016,0,17.50
2.96,0.124,0.002,0.0003,2.140,31.000,1.692,0.000,0.124,0.002,1.696,1.577,0,17.50
2.98,0.124,0.002,-0.0001,2.140,29.000,1.213,0.000,0.124,0.002,1.212,1.115,0,17.50
3.00,0.125,0.002,0.0004,2.150,29.000,1.599,0.000,0.125,0.002,1.604,1.456,0,17.50
3.02,0.133,0.002,0.0004,2.130,30.000,1.652,0.000,0.133,0.002,1.657,1.575,0,17.50
3.04,0.138,0.002,0.0004,2.140,29.000,1.587,0.000,0.138,0.002,1.592,1.546,0,17.50
3.06,0.121,0.001,0.0004,2.130,16.000,0.409,0.000,0.121,0.000,0.413,0.342,0,17.50
3.08,0.157,0.004,0.0019,2.140,32.000,2.457,0.000,0.158,0.004,2.481,2.507,0,17.50
3.10,0.173,0.003,0.0021,2.170,26.000,1.775,0.000,0.173,0.003,1.796,1.823,0,17.50
3.12,0.174,0.002,0.0021,2.140,23.000,1.414,0.000,0.175,0.002,1.433,1.337,0,17.50
3.14,0.165,0.002,0.0021,2.140,23.000,1.131,0.000,0.166,0.002,1.149,0.926,0,17.50
3.16,0.176,0.002,0.0022,2.130,28.000,1.173,0.000,0.177,0.002,1.192,0.949,0,17.50
3.18,0.225,0.002,0.0024,2.150,28.000,0.742,0.000,0.226,0.002,0.756,0.713,0,17.50
3.20,0.283,0.002,0.0024,2.130,29.000,0.626,0.000,0.284,0.002,0.636,0.712,0,17.50
